testing_sample_number,actual_class,predicted_class,feature_1,feature_2,g_actual,g_predicted
53,1,2,2.8172239748264,0.5230635703263009,-5.300478235022924,-3.6195429509283024
54,1,2,2.3111313627625787,0.1521253396546143,-4.552968529508803,-3.892209088409171
57,1,2,2.275471601120404,2.2319633948512756,-5.861063439838288,-5.239129584384316
64,1,2,2.725797630783389,1.2537456087331051,-5.541816378887923,-4.0208246790396025
83,1,2,2.334255614405902,-1.1047870793048515,-4.78116749941462,-4.108519588017831
119,1,2,2.3852279341303237,0.391216705715111,-4.689708703508364,-3.8760202901291856
123,1,2,2.270915367409311,-0.06183945755125156,-4.486618151562792,-3.9103770133817366
126,1,2,3.440043056053213,0.09451559528669783,-6.195081903311266,-3.2892048445234066
132,1,2,2.084315200521621,-2.8801726954776847,-6.10141837224575,-5.964045861791666
139,1,2,3.3514600177360294,-1.0987467717475863,-6.232598968243373,-3.5751442312602886
141,1,2,2.9146840364100837,1.1836888990117624,-5.768186027407178,-3.8669032479660395
152,1,2,2.1104962768263054,-0.5934403676541965,-4.357630590483402,-4.108577310434137
156,1,2,2.3999430697547917,0.8267692101196299,-4.867628627797244,-4.014671022677315
164,1,2,2.7573046681180062,2.4204931881603766,-6.71521588217116,-5.098779187751294
205,1,2,3.1495379379233794,-0.002299251187608556,-5.697380636710603,-3.3759027984896455
244,1,2,2.338413890659034,-0.753053682214872,-4.652544763517267,-3.9613076660752813
246,1,2,4.853710791454915,0.3817220515163483,-9.255553093266775,-3.485265250526532
282,1,2,3.2775784751236743,-2.4974656324550955,-7.213417053743869,-4.791777145027082
290,1,2,2.2371518266455426,-0.6445764992956543,-4.507313879398813,-4.011363927062161
301,1,2,3.1894353325612643,0.22196517990036768,-5.791986120063609,-3.379621865842985
304,1,2,2.694954240067579,1.9887440154517573,-6.132685189809386,-4.654784861480032
314,1,2,2.1274634881568364,1.5593370003331142,-5.02783045069123,-4.713768583054364
321,1,2,2.134102653498764,1.367454463596103,-4.885658103113144,-4.559897913490596
323,1,2,2.1612437098323993,1.6159090268520162,-5.112471821504606,-4.729360962501339
341,1,2,2.099253087018814,-0.48352481309291356,-4.324579826089871,-4.095364425264731
353,1,2,3.0568323451695996,-0.6891546045878421,-5.611308794918063,-3.5083286400980134
357,1,2,3.0442779675100184,1.315588003471052,-6.056786933330522,-3.88766325297982
360,1,2,2.503284545081869,-1.4964525718715314,-5.204092310594366,-4.21717979915953
378,1,2,3.951885555971162,-1.2708935458045536,-7.426176092924687,-3.6058141215252197
400,1,2,2.5125944567336225,-0.48399834867882113,-4.803587270744835,-3.762387932804842
401,1,2,2.986359713354452,-1.1535336188470935,-5.674488236085862,-3.7336284898867707
421,1,2,2.2471580410641154,-2.079815703809774,-5.366525992850885,-4.8932655083725916
425,1,2,2.2622968255974087,1.966518177285443,-5.556586301420158,-4.964231239968013
441,1,2,2.148135197367307,-2.0214068629891413,-5.205203727676361,-4.919477362743912
445,1,2,2.1390511997793418,-1.0301176916993953,-4.529954295773804,-4.234899989185251
449,1,2,4.027605636872229,-0.31716404681817195,-7.299605949367756,-3.251243668040862
459,1,2,2.4703388975703207,-1.679830348866746,-5.29118134853287,-4.374950890647855
466,1,2,2.7374665489253527,1.4056019983000492,-5.667693752909578,-4.118594464937106
467,1,2,2.1119885399699907,0.7041270835283854,-4.48286524417702,-4.209123222116433
471,1,2,2.3370223291644234,2.283457383237487,-5.994519557688003,-5.245712218580428
476,1,2,2.601514171248712,-0.14909947046268734,-4.891700048058602,-3.663920602101286
480,1,2,2.8838315363464755,1.380487969183551,-5.860068092037523,-4.014492419336348
497,1,2,2.6867919059626417,-0.747791786175179,-5.090880001015107,-3.717219017550262
527,2,1,1.8139059558691701,-2.4882657908111407,-5.723772371217535,-5.361092750237592
541,2,1,1.8982050402510633,-1.0897367169025358,-4.489127971983279,-4.315134818227063
543,2,1,1.3712882711987677,-2.157208179458006,-5.867009657829389,-4.66946489254146
581,2,1,1.47438495815579,-1.0555652368331216,-4.942787523994567,-3.947723185048192
592,2,1,0.575661607670892,-0.9218350428201502,-6.186135475084432,-3.452302827477419
646,2,1,1.5177584691270551,2.2000859055141135,-6.011202335395634,-5.0824859426146425
663,2,1,0.8693466496500069,-0.1154059889129094,-5.572410897235499,-3.389762531697464
692,2,1,1.881734893965862,-0.20194158504250462,-4.273769781884937,-4.0797870259974784
703,2,1,1.2813818128679841,1.6423278711605636,-5.758800470882472,-4.359531461161925
711,2,1,1.4165944900160916,2.076022213727853,-6.002785047048998,-4.86981468395553
