label,feature_1,feature_2
0,-1.1646394878558028,-1.7553840204371616
0,-2.510449091866908,-1.0239764950391534
0,0.5275269022239235,-0.33821048647912033
0,-1.4222689029781288,-1.253946931996344
0,-1.0410805917349724,-1.4357606108519612
0,-2.513960759856566,-1.198205695943298
0,-2.1366387936609534,-0.4543782417708795
0,-1.3715918091640604,-1.7728253474019224
0,-1.251301661205302,-1.7569862173111637
0,-2.079248720377721,-1.6316114575730583
0,-1.015509942847613,-1.229674873998937
0,-2.2615425266379687,-1.923614414734879
0,-1.0201350291265419,-0.8894558126161679
0,-2.058509272350794,-1.1752283041344862
0,-2.0103807619569345,-1.0585318820247278
0,-2.762902914403074,-2.689154579616476
0,-0.72021504358574,-1.0737070813716785
0,-2.5165725845255578,-0.8324964545809441
0,-0.9808853609825424,-1.362048907868304
0,-1.2729392725995834,-0.09059180017335078
0,-2.2970850878130697,-1.2274200852931967
0,-1.1630755124047996,-0.4195826625695348
0,-1.695101411715296,-0.9657388764719932
0,-2.2178453329437864,-1.483336342977439
0,-2.0033476456074415,-1.4324701195763865
0,-2.0303121328384366,-0.8682114558333386
0,-0.3280876568754483,-0.1633616570963009
0,-0.840787650010139,-1.0108483901476635
0,-2.0943251271254386,-0.026417452407715425
0,-1.4110365374039737,0.10450236838320692
0,-0.16454685994703655,-0.015777242515843892
0,-1.9195873932602483,-0.8047522251357029
0,-2.4062138924568592,-1.074144292507851
0,-1.0171985045956027,-1.0021171557095323
0,-1.9909982344537815,-1.6916399030828364
0,-0.02649304755429216,-0.7150947051192429
0,-1.1270245368898713,-0.1055979495634275
0,-1.960253738916538,-0.7360665900383627
0,-1.2886753500655928,-0.6223975192781723
0,-1.7689357304595523,-1.5933811184689577
0,-1.4676937152499185,-1.6619274990739767
0,-1.0495973635120148,-0.9499674444193018
0,-0.9311949246075629,0.07954612205572453
0,-1.1830387340508641,-0.6699347917791771
0,-2.0654946933901916,-1.0971688449861625
0,-1.9069388152648836,-1.5102312628346914
0,-1.1664571890258313,-0.750066353984757
0,0.4217871876252617,-0.5959571777494568
0,-0.06543155464777994,-0.6113528512458277
0,-1.3006881490020596,-1.750362594096442
0,-1.92069051320084,-0.058048378689770086
0,-1.6412184296495622,-0.3677055757780425
0,-0.7488160549275052,-0.4642807833655431
0,-0.6674520390641543,-0.5230329288910068
0,-1.1733279449399703,-2.4849568884091164
0,-1.924075435710415,-1.1747362324592614
0,-0.33219126590687886,-1.3488295385554347
0,-1.2720435133857624,-1.327380151693462
0,-1.6718203738264887,-1.14890165025
0,-2.478430766425313,-2.229469066378339
1,0.5292530832021216,1.5054325129869421
1,1.0998843093187498,1.2752530133875286
1,2.938531755045852,2.3874354640328344
1,2.7203073187665794,0.9420053967289365
1,2.2804405623694994,1.4300089413814328
1,1.5643239444569215,-0.3268084740567878
1,1.7327892934833558,0.7249881077895703
1,1.1999824554960123,1.7516837352473402
1,0.4277920447982948,1.3304670134102596
1,1.9714410752322107,0.7415303062933336
1,1.5271176521042384,1.281450432442366
1,1.9469631134419516,0.30964730843342314
1,1.317950275897378,1.0573181679501602
1,-1.219274860750791,0.2491763742018933
1,2.238762503279808,1.4373522908701504
1,2.818377166419425,1.6988384234983513
1,0.6501292886125593,1.414839235798154
1,2.3455236453620025,1.1594490710198915
1,3.0652195619189273,2.3946141051556857
1,2.509858980395612,1.4545782244039358
1,2.1537662862284908,1.55490288527729
1,3.480755708985658,1.4421056749536354
1,0.7076477974148613,-1.1426123971593984
1,1.292621713286988,2.7191928751138343
1,0.11219534882112181,-1.6165540977117723
1,1.5746848366796102,1.4329113206476476
1,0.8260895874619298,-0.708934848272951
1,1.261406825419338,1.5766853532080334
1,1.3976160695893871,0.5031002537903371
1,2.313232557917163,0.37122966878667263
1,1.803844703202347,1.024455146639117
1,1.631203996494767,0.5487718957676612
1,0.6439418456318066,1.2060871560431141
1,1.208415111730844,1.077340345260482
1,1.463320948767119,0.9634094609881185
1,1.8313285645718258,1.6632705466098705
1,0.4693834392149472,2.1647168823307084
1,0.213300326818451,0.11797960517565853
1,2.609254386264426,0.9425473916422348
1,0.5412745171036332,0.3168482292878033
1,2.083952605748871,-0.24578461378331928
1,0.622507102028027,0.5991071735357236
1,2.5125812295819205,1.5180418393966872
1,1.290731638743646,0.8457592810948334
1,1.7556347990683028,1.1470953878389185
1,1.5936589669853118,1.2536678795774467
1,1.8318111868373208,-1.3601228962420309
1,1.5706738849736672,1.2558016743210278
1,1.4910338726179997,0.6009665689647334
1,2.5387346519375775,2.3827392174167845
1,1.113869728472742,-0.994857684870003
1,1.0769277077173278,0.23236754685896333
1,2.094409525755482,0.4901202515040053
1,1.0487588722915215,1.9122571462275677
1,0.19000071716813105,1.5068644567099208
1,0.45826585906454853,0.41878385303953447
1,0.06786611895704353,0.028286028127935237
1,1.0848716503324827,0.2738254101550216
1,1.8198685998984485,0.5884043230964617
1,1.4358839729398736,-0.29993129281394504
